,0
1496,bend7
1497,dock1
1498,mmp28
1499,mrc1
1500,srgap2
1501,kif14
1502,bub1b
1503,cenpe
1504,kif18a
1505,nuf2
1506,cenpf
1507,mki67
1508,cit
1509,esm1
1510,gzmk
1511,sytl2
1512,adam23
1513,fgfbp2
1514,myo9b
1515,srebf2
1516,abcc1
1517,trappc9
1518,pi4kap2
1519,phka2
1520,trrap
1521,nomo1
1522,cd22
1523,blnk
1524,sh2d4b
1525,pax5
1526,auts2
1527,znf608
1528,nav1
1529,pou2af1
1530,chd7
1531,lamc1
1532,zmynd19
1533,rufy1
1534,znf354c
1535,fmnl2
1536,procr
1537,cdkn2c
1538,znf667
1539,pbx4
1540,pard3
1541,crispld1
1542,gigyf2
1543,gpr89b
1544,pms2
1545,iws1
1546,ninj1
1547,abhd14b
1548,nbr2
1549,kansl1
1550,lrrc37a2
1551,lrrc37a3
1552,stx16
1553,lrrc37a
1554,lrig2
1555,cacnb2
1556,prcd
1557,pcbd1
1558,tg
1559,ints3
1560,terf2
1561,scn3b
1562,cdkl1
1563,prss27
1564,pcdh10
1565,cxadr
1566,fam171a2
1567,rnd2
1568,vrk2
1569,plekhh1
1570,znf219
1571,arhgap39
1572,sbk1
1573,fblim1
1574,reep2
1575,phldb3
1576,tmem213
1577,or14j1
1578,or6y1
1579,pcdha4
1580,gabrg2
1581,spdye6
1582,foxd4l5
1583,slc13a4
1584,cdc14c
1585,smc1b
1586,eme1
1587,slc25a26
1588,kif24
1589,znf826p
1590,fam131b
1591,aff1
1592,slco4c1
1593,itgad
1594,f2r
1595,uts2
1596,tbx21
1597,ctsw
1598,ifi30
1599,tmbim1
1600,il2ra
1601,zbtb7b
1602,pik3r5
1603,mvp
1604,nkg7
1605,rassf3
1606,dlg1
1607,rapgef5
1608,cd1a
1609,myo7b
1610,npm2
1611,tcf7
1612,aldh3a2
1613,pde9a
1614,rnf103-chmp3
1615,nbpf14
1616,pom121c
1617,ncf1c
1618,ncf1b
1619,hvcn1
1620,gsn
1621,spi1
1622,ppip5k1
1623,acot12
1624,c20orf96
1625,hspbap1
1626,catsperg
1627,polg2
1628,strc
1629,rgpd1
1630,rgpd4
1631,ranbp2
1632,xg
1633,nudt9p1
1634,gtdc1
1635,bcas4
1636,gas2
1637,tp73-as1
1638,gng7
1639,nudt16
1640,antxr1
1641,gnrh1
1642,hcp5
1643,crtam
1644,cxcr6
1645,havcr2
1646,ifng
1647,akap5
1648,bpi
1649,camp
1650,crisp3
1651,ceacam6
1652,olfm4
1653,elane
1654,ceacam8
1655,pglyrp1
1656,ccz1
1657,sdhap1
1658,spry2
1659,efhc1
1660,c4orf36
1661,pbld
1662,lysmd2
1663,ube2q1
1664,bet1l
1665,pms2cl
1666,cox20
1667,s1pr2
1668,cxcr1
1669,cxcr2
1670,ffar2
1671,kcnj15
1672,alpl
1673,lrrk2
1674,mgam
1675,fpr2
1676,cd177
1677,steap4
1678,ptgs2
1679,vnn2
1680,mst1p2
1681,icam5
1682,mamdc4
1683,hsf4
1684,adamts13
1685,rab32
1686,smarca1
1687,wdr17
1688,dhcr24
1689,arhgef26
1690,tmtc2
1691,tex9
1692,scn9a
1693,ltbp1
1694,hoxb3
1695,tshz2
1696,ldlrap1
1697,clec2d
1698,galm
1699,ptprj
1700,tpd52
1701,sp140
1702,rhag
1703,ca1
1704,hemgn
1705,sox6
1706,rhce
1707,gypb
1708,mzb1
1709,serpinb8
1710,myh10
1711,sntb1
1712,tspan10
1713,uvrag
1714,tcfl5
1715,ids
1716,sytl3
1717,elf4
1718,il10ra
1719,slc37a3
1720,tmem236
1721,znf423
1722,khdrbs3
1723,lgmn
1724,myo1b
1725,prx
1726,wnt9a
1727,tmed6
1728,atp10a
1729,mrpl16
1730,pcdhb14
1731,pcdhb12
1732,fcgr2a
1733,csta
1734,ankrd22
1735,tyrobp
1736,pygl
1737,nlrc4
1738,stac3
1739,piwil4
1740,cited2
