"","Cell_type","predicted_RF","predicted_KNN","predicted_XGB","all_predictions_same"
"T83","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS29","T Cell","T Cell","T Cell","T Cell",TRUE
"T112","T Cell","T Cell","T Cell","T Cell",TRUE
"T74","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS17","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS25","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS2","T Cell","T Cell","T Cell","T Cell",TRUE
"T59","T Cell","T Cell","T Cell","T Cell",TRUE
"H301TALLS11","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS10","T Cell","T Cell","T Cell","T Cell",TRUE
"T89","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS8","T Cell","T Cell","T Cell","T Cell",TRUE
"T60","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS7","T Cell","T Cell","T Cell","T Cell",TRUE
"CMUTALLS12","T Cell","T Cell","T Cell","T Cell",TRUE
"T62","T Cell","T Cell","T Cell","T Cell",TRUE
"T85","T Cell","T Cell","T Cell","T Cell",TRUE
"T106","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS20","T Cell","T Cell","T Cell","T Cell",TRUE
"T114","T Cell","T Cell","T Cell","T Cell",TRUE
"CMUTALLS6","T Cell","T Cell","T Cell","T Cell",TRUE
"T119","T Cell","T Cell","T Cell","T Cell",TRUE
"T67","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS11","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS15","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS27","T Cell","T Cell","T Cell","T Cell",TRUE
"H301TALLS4","T Cell","T Cell","T Cell","T Cell",TRUE
"T97","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS22","T Cell","T Cell","T Cell","T Cell",TRUE
"H301TALLS1","T Cell","T Cell","T Cell","T Cell",TRUE
"CMUTALLS2","T Cell","T Cell","T Cell","T Cell",TRUE
"CMUTALLS7","T Cell","T Cell","T Cell","T Cell",TRUE
"H301TALLS7","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS23","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS33","T Cell","T Cell","T Cell","T Cell",TRUE
"T104","T Cell","T Cell","T Cell","T Cell",TRUE
"T93","T Cell","T Cell","T Cell","T Cell",TRUE
"H301TALLS5","T Cell","T Cell","T Cell","T Cell",TRUE
"CMUTALLS1","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS18","T Cell","T Cell","T Cell","T Cell",TRUE
"H301TALLS8","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS32","T Cell","T Cell","T Cell","T Cell",TRUE
"H301TALLS2","T Cell","T Cell","T Cell","T Cell",TRUE
"H301TALLS14","T Cell","T Cell","T Cell","T Cell",TRUE
"T79","T Cell","T Cell","T Cell","T Cell",TRUE
"CMUTALLS9","T Cell","T Cell","T Cell","T Cell",TRUE
"CMUTALLS15","T Cell","T Cell","T Cell","T Cell",TRUE
"T95","T Cell","T Cell","T Cell","T Cell",TRUE
"T80","T Cell","T Cell","T Cell","T Cell",TRUE
"T82","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS4","T Cell","T Cell","T Cell","T Cell",TRUE
"CMUTALLS8","T Cell","T Cell","T Cell","T Cell",TRUE
"T77","T Cell","T Cell","T Cell","T Cell",TRUE
"T90","T Cell","T Cell","T Cell","T Cell",TRUE
"H301TALLS13","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS13","T Cell","T Cell","T Cell","T Cell",TRUE
"T91","T Cell","T Cell","T Cell","T Cell",TRUE
"CMUTALLS13","T Cell","T Cell","T Cell","T Cell",TRUE
"T116","T Cell","T Cell","T Cell","T Cell",TRUE
"T99","T Cell","T Cell","T Cell","T Cell",TRUE
"CMUTALLS11","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS30","T Cell","T Cell","T Cell","T Cell",TRUE
"H301TALLS9","T Cell","T Cell","T Cell","T Cell",TRUE
"CMUTALLS4","T Cell","T Cell","T Cell","T Cell",TRUE
"T68","T Cell","T Cell","T Cell","T Cell",TRUE
"T61","T Cell","T Cell","T Cell","T Cell",TRUE
"T102","T Cell","T Cell","T Cell","T Cell",TRUE
"T88","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS21","T Cell","T Cell","T Cell","T Cell",TRUE
"T94","T Cell","T Cell","T Cell","T Cell",TRUE
"H301TALLS3","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS34","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS37","T Cell","T Cell","T Cell","T Cell",TRUE
"CMUTALLS5","T Cell","T Cell","T Cell","T Cell",TRUE
"T101","T Cell","T Cell","T Cell","T Cell",TRUE
"DMUTALLS2","T Cell","T Cell","T Cell","T Cell",TRUE
"T81","T Cell","T Cell","T Cell","T Cell",TRUE
"T87","T Cell","T Cell","T Cell","T Cell",TRUE
